,Job Title,Location,Industry,Sector,salary_average,City,State,Lat,Lng
106,data scientist,"Cambridge, MA",Enterprise Software & Network Solutions,Information Technology,124500,Cambridge,MA,42.3736158,-71.10973349999999
107,data scientist,"Novi, MI",Computer Hardware & Software,Information Technology,124500,Novi,MI,42.48059,-83.4754913
108,data scientist,"San Antonio, TX",Insurance Operators,Insurance,124500,San Antonio,TX,29.4241219,-98.49362819999999
109,data scientist,"Philadelphia, PA",Insurance Operators,Insurance,124500,Philadelphia,PA,39.9525839,-75.1652215
110,data scientist,"Pittsburgh, PA",Architectural & Engineering Services,Business Services,124500,Pittsburgh,PA,40.44062479999999,-79.9958864
111,data scientist,"Saint Louis, MO",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,124500,Saint Louis,MO,38.6270025,-90.19940419999999
112,data scientist,"Austin, TX",Video Games,Media,124500,Austin,TX,30.267153,-97.7430608
113,data scientist,"Vicksburg, MS",IT Services,Information Technology,57000,Vicksburg,MS,32.3526456,-90.877882
114,data scientist,"New Orleans, LA",Enterprise Software & Network Solutions,Information Technology,57000,New Orleans,LA,29.95106579999999,-90.0715323
115,data scientist,"San Rafael, CA","Department, Clothing, & Shoe Shops",Retail,57000,San Rafael,CA,37.9735346,-122.5310874
116,data scientist,"New York, NY",Insurance Operators,Insurance,57000,New York,NY,40.7127753,-74.0059728
117,data scientist,"Stamford, CT","Cable, Internet & Telephone Providers",Telecommunications,57000,Stamford,CT,41.0534302,-73.5387341
118,data scientist,"New York, NY",Insurance Operators,Insurance,57000,New York,NY,40.7127753,-74.0059728
119,data scientist,United States,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,57000,United States,,37.09024,-95.712891
120,data scientist,"Alexandria, VA",Internet,Information Technology,57000,Alexandria,VA,38.8048355,-77.0469214
121,data scientist,"Boston, MA",IT Services,Information Technology,57000,Boston,MA,42.3600825,-71.0588801
122,data scientist,"Seattle, WA",Energy,"Oil, Gas, Energy & Utilities",57000,Seattle,WA,47.6062095,-122.3320708
123,data scientist,"San Francisco, CA",Investment Banking & Asset Management,Finance,57000,San Francisco,CA,37.7749295,-122.4194155
124,data scientist,"Wright Patterson AFB, OH",Government Agencies,Government,57000,Wright Patterson AFB,OH,39.8137298,-84.05374479999999
125,data scientist,United States,Beauty & Personal Accessories Shops,Retail,57000,United States,,37.09024,-95.712891
126,data scientist,"Simi Valley, CA",Aerospace & Defence,Aerospace & Defence,57000,Simi Valley,CA,34.2694474,-118.781482
127,data scientist,"San Francisco, CA",Computer Hardware & Software,Information Technology,57000,San Francisco,CA,37.7749295,-122.4194155
128,data scientist,"New York, NY",Investment Banking & Asset Management,Finance,57000,New York,NY,40.7127753,-74.0059728
129,data scientist,"Bethesda, MD",Preschool & Child Care,Education,57000,Bethesda,MD,38.984652,-77.0947092
130,data scientist,"Hoopeston, IL",Food & Drink Manufacturing,Manufacturing,57000,Hoopeston,IL,40.4672587,-87.6683573
131,data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,57000,Memphis,TN,35.1495343,-90.0489801
132,data scientist,"New York, NY",-1,-1,57000,New York,NY,40.7127753,-74.0059728
133,data scientist,"Madison, WI",Healthcare Services & Hospitals,Healthcare,57000,Madison,WI,43.0730517,-89.4012302
134,data scientist,"San Mateo, CA",Internet,Information Technology,184000,San Mateo,CA,37.5629917,-122.3255254
135,data scientist,"South San Francisco, CA",Enterprise Software & Network Solutions,Information Technology,184000,South San Francisco,CA,37.654656,-122.4077498
136,data scientist,"Seattle, WA",Insurance Operators,Insurance,184000,Seattle,WA,47.6062095,-122.3320708
137,data scientist,"Rancho Cucamonga, CA",Healthcare Services & Hospitals,Healthcare,184000,Rancho Cucamonga,CA,34.10639889999999,-117.5931084
138,data scientist,"Jamaica, NY",Consulting,Business Services,184000,Jamaica,NY,40.702677,-73.7889689
139,data scientist,"San Mateo, CA",Investment Banking & Asset Management,Finance,184000,San Mateo,CA,37.5629917,-122.3255254
140,data scientist,"Fort Belvoir, VA",Consulting,Business Services,184000,Fort Belvoir,VA,38.71887160000001,-77.15426839999999
141,data scientist,"Chicago, IL",Insurance Operators,Insurance,184000,Chicago,IL,41.8781136,-87.6297982
142,data scientist,"Herndon, VA",Aerospace & Defence,Aerospace & Defence,184000,Herndon,VA,38.9695545,-77.3860976
143,data scientist,"Washington, DC",Internet,Information Technology,184000,Washington,DC,38.9071923,-77.0368707
144,data scientist,"San Antonio, TX",Insurance Operators,Insurance,184000,San Antonio,TX,29.4241219,-98.49362819999999
145,data scientist,"Atlanta, GA",IT Services,Information Technology,184000,Atlanta,GA,33.7489954,-84.3879824
146,data scientist,"Vail, CO",Healthcare Services & Hospitals,Healthcare,184000,Vail,CO,39.6402638,-106.3741955
147,data scientist,"Austin, TX",Computer Hardware & Software,Information Technology,184000,Austin,TX,30.267153,-97.7430608
148,data scientist,"Los Angeles, CA",Advertising & Marketing,Business Services,184000,Los Angeles,CA,34.0522342,-118.2436849
149,data scientist,"Saint Louis, MO",Staffing & Outsourcing,Business Services,184000,Saint Louis,MO,38.6270025,-90.19940419999999
150,data scientist,Remote,Internet,Information Technology,184000,Remote,,45.3332482,-122.5728874
151,data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,184000,Memphis,TN,35.1495343,-90.0489801
152,data scientist,"Kansas City, MO",Insurance Operators,Insurance,184000,Kansas City,MO,39.0997265,-94.5785667
153,data scientist,"Pittsburgh, PA",Colleges & Universities,Education,184000,Pittsburgh,PA,40.44062479999999,-79.9958864
154,data scientist,"Albany, NY",Consulting,Business Services,184000,Albany,NY,42.6525793,-73.7562317
155,data scientist,"Philadelphia, PA",Healthcare Services & Hospitals,Healthcare,111000,Philadelphia,PA,39.9525839,-75.1652215
156,data scientist,"Chicago, IL",Investment Banking & Asset Management,Finance,111000,Chicago,IL,41.8781136,-87.6297982
157,data scientist,"Windsor, CT",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,111000,Windsor,CT,41.8525984,-72.64370219999999
158,data scientist,"San Diego, CA",Consulting,Business Services,111000,San Diego,CA,32.715738,-117.1610838
159,data scientist,"Houston, TX",IT Services,Information Technology,111000,Houston,TX,29.7604267,-95.3698028
160,data scientist,"McLean, VA",Aerospace & Defence,Aerospace & Defence,111000,McLean,VA,38.9338676,-77.1772604
161,data scientist,"Omaha, NE",Transportation Management,Transportation & Logistics,111000,Omaha,NE,41.2565369,-95.9345034
