Job Title,Location,Industry,Sector,salary_average
data scientist,"Patuxent, Anne Arundel, MD",IT Services,Information Technology,130000
data scientist,"Huntsville, AL",Investment Banking & Asset Management,Finance,130000
data scientist,"San Francisco, CA",Computer Hardware & Software,Information Technology,130000
data scientist,"Tacoma, WA",Wholesale,Business Services,56500
data scientist,"Seattle, WA",Architectural & Engineering Services,Business Services,56500
data scientist,"Norwood, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56500
data scientist,"Chicago, IL",Healthcare Services & Hospitals,Healthcare,56500
data scientist,"Fort Belvoir, VA",Aerospace & Defence,Aerospace & Defence,56500
data scientist,"Redmond, WA",Consulting,Business Services,56500
data scientist,"Rancho Cucamonga, CA",Healthcare Services & Hospitals,Healthcare,56500
data scientist,"Washington, DC",Insurance Operators,Insurance,56500
data scientist,"San Bruno, CA",IT Services,Information Technology,56500
data scientist,"San Bruno, CA",Utilities,"Oil, Gas, Energy & Utilities",56500
data scientist,"Irvine, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56500
data scientist,"Huntsville, AL",IT Services,Information Technology,56500
data scientist,"Dulles, VA",IT Services,Information Technology,56500
data scientist,"San Francisco, CA",Staffing & Outsourcing,Business Services,56500
data scientist,"Bartlesville, OK",Energy,"Oil, Gas, Energy & Utilities",56500
data scientist,Virginia,IT Services,Information Technology,56500
data scientist,"Walnut Creek, CA",Financial Transaction Processing,Finance,56500
data scientist,"Fremont, CA",Computer Hardware & Software,Information Technology,56500
data scientist,"Glendale, CA",Primary & Secondary Education,Education,56500
data scientist,"Rockville, MD",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56500
data scientist,"Arlington, VA",IT Services,Information Technology,56500
data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56500
data scientist,"Norwood, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,69500
data scientist,"North Chicago, IL",Staffing & Outsourcing,Business Services,69500
data scientist,"Santa Clara, CA",Enterprise Software & Network Solutions,Information Technology,69500
data scientist,"San Francisco, CA",Computer Hardware & Software,Information Technology,69500
data scientist,"Vancouver, WA",-1,-1,69500
data scientist,"Berkeley, CA",-1,-1,69500
data scientist,"Westminster, CO",Consulting,Business Services,69500
data scientist,"Irvine, CA",Investment Banking & Asset Management,Finance,69500
data scientist,"San Antonio, TX",Staffing & Outsourcing,Business Services,69500
data scientist,"South San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,69500
data scientist,"San Francisco, CA",IT Services,Information Technology,69500
data scientist,"Collegeville, PA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,69500
data scientist,"Cambridge, MA",Building & Construction,"Building, Repair & Maintenance",69500
data scientist,New Jersey,IT Services,Information Technology,69500
data scientist,"Chicago, IL",Banks & Building Societies,Finance,69500
data scientist,"Arlington, VA",IT Services,Information Technology,69500
data scientist,"Pittsburgh, PA",Mining,Mining & Metals,69500
data scientist,"New York, NY",Computer Hardware & Software,Information Technology,69500
data scientist,"McLean, VA",Government Agencies,Government,69500
data scientist,"Columbia, MO",Lending,Finance,69500
data scientist,"Austin, TX",Advertising & Marketing,Business Services,69500
data scientist,"Thousand Oaks, CA",Staffing & Outsourcing,Business Services,69500
data scientist,"Pomona, CA",Utilities,"Oil, Gas, Energy & Utilities",69500
data scientist,"San Francisco, CA",IT Services,Information Technology,69500
data scientist,"Concord, CA",Consulting,Business Services,69500
data scientist,"San Carlos, CA",-1,-1,127500
data scientist,"Edison, NJ",Healthcare Services & Hospitals,Healthcare,127500
data scientist,"Monterey, CA",Healthcare Services & Hospitals,Healthcare,127500
data scientist,"Norwood, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,127500
