,job_title,salary_offered,category,job_board,city,state,C#,R,Agile,AWS,Azure,DATA STUDIO,Degree,GOLang,Hadoop,Hive,INSIGHT,JAVA,KAFKA,MATLAB,MATPLOTLIB,NOSQL,PANDAS,PERL,PIG,POSTGRESQL,POWERBI,PYTHON,QLIKVIEW,R CLOUD,SCALA,SPARK,SQL,SCIKITLEARN,TABLEAU,UNIX
65,data scientist,,,dice,Los Angeles,CA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
66,data scientist,,,dice,Houston,TX,0.0,1,1,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,data scientist,,agriculture and fishing,monster,Plymouth,MN,0.0,1,0,0,0,0.0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
68,data scientist,,,dice,Houston,TX,0.0,1,0,0,0,0.0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,data scientist,,business and financial operations,careerbuilder,McLean,VA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
70,data scientist,,business and financial operations,careerbuilder,Charlotte,NC,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
71,data scientist,,business and financial operations,careerbuilder,Alexandria,VA,0.0,1,0,0,0,0.0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
72,data scientist,,business and financial operations,careerbuilder,El Segundo,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
73,data scientist,,business and financial operations,careerbuilder,St. Louis,MO,0.0,1,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,data scientist,,business and financial operations,careerbuilder,Waltham,MA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75,data scientist,,Education/Training,indeed,Urbandale,IA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,data scientist,,Engineering/Architecture,indeed,Bellevue,WA,0.0,1,0,0,0,0.0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
77,data scientist,,Engineering/Architecture,indeed,San Francisco,CA,0.0,1,0,0,0,0.0,0,0,1,1,,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0
78,data scientist,,Engineering/Architecture,indeed,Golden,CO,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,data scientist,,Engineering/Architecture,indeed,Memphis,TN,0.0,1,0,0,0,0.0,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,data scientist,,Engineering/Architecture,indeed,Redmond,WA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
81,data scientist,,Engineering/Architecture,indeed,Bentonville,AR,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
82,data scientist,,science,monster,Boston,MA,1.0,1,0,0,0,0.0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
83,data scientist,,Engineering/Architecture,indeed,New York,NY,0.0,1,0,1,0,0.0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
84,data scientist,,Engineering/Architecture,indeed,San Francisco,CA,0.0,1,0,0,0,0.0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
85,data scientist,,Engineering/Architecture,indeed,Rockville,MD,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
86,data scientist,,Manufacturing/Mechanical,indeed,United States,,0.0,1,0,1,0,0.0,1,0,1,0,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
87,data scientist,,life physical and social science,careerbuilder,Juno Beach,FL,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,data scientist,,life physical and social science,careerbuilder,Seattle,WA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,data scientist,,,dice,San Jose,CA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
90,data scientist,,,dice,New York,NY,0.0,1,1,1,0,0.0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,data scientist,,,dice,New York,NY,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
92,data scientist,,,dice,San Francisco,CA,0.0,1,1,0,0,0.0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
93,data scientist,,,dice,San Francisco,CA,0.0,1,1,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,data scientist,,,dice,Melrose Park,IL,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,data scientist,,,dice,Northfield,IL,0.0,1,0,1,1,0.0,1,0,1,0,,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
96,data scientist,,,dice,San Francisco,CA,0.0,1,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
97,data scientist,,,dice,Rosemont,IL,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
98,data scientist,,,dice,Berkeley,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
